customer_id,PCA1,PCA2,Cluster
987232,1.021740552620955,-0.2151470046585158,0
79955,-0.570818992835559,-0.5302089333829653,0
567131,-0.661055825110778,0.6980533498058761,0
500892,0.7639395184334179,1.6553099584411304,0
55400,0.3316610952643767,0.3402679739577469,0
135050,0.7230185502469594,1.1056048241724268,0
733379,-0.5967278516555694,-1.7455274630442847,0
732058,0.2205769709310538,-0.07783544870934767,0
51334,1.983192594243316,0.05209751301427588,0
731480,7.6386864981488545,-1.6265699228963533,1
399759,-0.2489764951317192,-1.1207483312249815,0
401398,-0.5970985729301254,-0.6285087965511738,0
855486,4.6416270501330565,-0.15515267084945775,0
858885,-0.4992748612083813,1.6868495429703594,0
503248,0.4932581725304449,1.1244003564079865,0
864742,-0.674891894183977,-1.4795652228381972,0
35033,-0.41079388901246255,1.1423838140760663,0
995704,0.4206142503314085,-0.1599548903991868,0
376762,-0.43104266082720444,0.8503635824624453,0
811354,-0.4726594188251638,0.7508149248608782,0
577746,-0.4624285532594449,1.0682853195998383,0
659807,-0.43381788199321797,1.147069745264282,0
219340,-0.25526266122571606,-1.0961550083986866,0
979756,0.25534602326556305,-0.9914192060799992,0
625692,-0.5730739279558499,-0.12993946693507255,0
215340,-0.2340202233240352,1.4048848086361785,0
443418,-0.2619527889491894,1.6757417079873995,0
980329,-0.3299838091336859,1.6988145577069211,0
336984,-0.18926089094133344,-0.36565647184036637,0
518813,7.528258452296101,0.8509055688333863,1
943379,-0.4226045135635994,1.496179181610697,0
2086,-0.37903892087541236,0.6799643620133162,0
663616,3.0925771808372406,0.17122779758614418,0
677815,0.30048650382054287,1.657078122308261,0
957738,-0.19563779756312763,-0.23884164594779586,0
543083,-0.5001386946412121,0.3912161638280478,0
529928,-0.42625078137034167,-0.9704675849770604,0
66337,-0.5982799711912242,-1.2041819412841412,0
272967,-0.4236023848085439,-0.33243710227088646,0
876376,-0.6487976751552322,-1.5410980502360336,0
443182,-0.42172971002394377,-0.08609649474759759,0
38748,-0.4244344631808748,-0.7436700832689389,0
244519,-0.271943610458361,0.12932961717608685,0
321942,-0.43079909918888554,1.1648206517587016,0
212424,-0.5331998495242861,-0.37082034577358,0
684488,-0.24915775299936818,-0.6201377390435969,0
460022,0.7227227219239831,0.5469813025378848,0
330798,-0.3560818347559921,-1.0761119998238922,0
820288,-0.6564938203281487,-1.49524798195022,0
934969,-0.23929406880102438,-1.0010669360149054,0
878903,2.0049188208889417,1.4669514541105333,0
507015,-0.9022378518106321,1.616244954296021,0
63469,-0.5557210840385273,0.8682539596794352,0
568671,-0.42792818235796437,1.0075451526414134,0
855772,-0.5174128202031354,-0.6308607626733087,0
606373,-0.6682063462254961,-1.6452472612408577,0
358901,1.7482488955570734,-0.5201020095631605,0
178393,1.1710507152523604,-1.0405040468167401,0
921915,-0.09494197810114786,-1.5906120890062074,0
348366,-0.4082184409290645,0.7670130012705733,0
377483,0.9479899936768957,-1.6775265974841673,0
44793,-0.3288304958269469,-1.6378213517177442,0
690928,-0.9841540999163207,-1.7494189284084987,0
